date,ticker,action,price
2020-11-25,HDFCBANK,BUY,1402.8
2020-12-01,ITC,BUY,183.50131945
2020-12-03,SBIN,SELL,256.29999
2020-12-04,SBIN,BUY,263.5
2020-12-07,ICICIBANK,SELL,510.45001
2020-12-08,ICICIBANK,BUY,508.39999
2020-12-08,HINDUNILVR,BUY,2260.0
2020-12-10,ITC,SELL,200.77537374
2020-12-11,ITC,BUY,204.1735465
2020-12-14,BHARTIARTL,BUY,493.78531845
2020-12-15,BAJFINANCE,SELL,5122.5
2020-12-16,BAJFINANCE,BUY,5146.6001
2020-12-18,INFY,SELL,1189.8
2020-12-21,INFY,BUY,1177.3
2020-12-21,ITC,SELL,191.57198919
2020-12-21,SBIN,SELL,254.7
2020-12-22,TCS,SELL,2872.5
2020-12-23,TCS,BUY,2908.75
2020-12-23,INFY,SELL,1253.05
2020-12-23,ITC,BUY,196.1028862
2020-12-23,SBIN,BUY,263.0
2020-12-24,HINDUNILVR,SELL,2402.25
2020-12-24,INFY,BUY,1236.05
2020-12-28,HINDUNILVR,BUY,2388.8999
2021-01-01,SBIN,SELL,279.39999
2021-01-04,SBIN,BUY,281.04999
2021-01-05,TCS,SELL,3093.0
2021-01-06,TCS,BUY,3051.5
2021-01-06,ICICIBANK,SELL,546.70001
2021-01-07,ICICIBANK,BUY,541.09998
2021-01-07,BHARTIARTL,SELL,535.20813087
2021-01-08,INFY,SELL,1312.1
2021-01-08,ITC,SELL,190.20328072
2021-01-08,BHARTIARTL,BUY,530.30021587
2021-01-11,INFY,BUY,1376.2
2021-01-11,BAJFINANCE,SELL,4984.25
2021-01-13,ITC,BUY,199.40666527
2021-01-13,BHARTIARTL,SELL,567.60036988
2021-01-13,SBIN,SELL,306.79999
2021-01-14,TCS,SELL,3250.7
2021-01-14,BHARTIARTL,BUY,569.85800097
2021-01-14,SBIN,BUY,307.25
2021-01-15,TCS,BUY,3233.3501
2021-01-18,INFY,SELL,1312.05
2021-01-18,SBIN,SELL,294.45001
2021-01-19,HDFCBANK,SELL,1503.85
2021-01-19,INFY,BUY,1316.65
2021-01-19,SBIN,BUY,298.60001
2021-01-20,HDFCBANK,BUY,1492.0
2021-01-21,BAJFINANCE,BUY,5118.2998
2021-01-22,HDFCBANK,SELL,1443.55
2021-01-22,SBIN,SELL,283.70001
2021-01-25,HDFCBANK,BUY,1462.85
2021-01-25,BAJFINANCE,SELL,4908.7002
2021-01-27,HDFCBANK,SELL,1409.6
2021-01-27,ICICIBANK,SELL,522.34998
2021-01-28,HINDUNILVR,SELL,2300.3999
2021-01-28,INFY,SELL,1276.2
2021-01-29,TCS,SELL,3111.3501
2021-01-29,ITC,SELL,191.85517025
2021-01-29,BHARTIARTL,SELL,543.40432929
2021-02-01,HDFCBANK,BUY,1476.75
2021-02-01,ICICIBANK,BUY,603.79999
2021-02-01,ITC,BUY,203.84316859
2021-02-01,BHARTIARTL,BUY,568.48381421
2021-02-01,SBIN,BUY,310.70001
2021-02-01,BAJFINANCE,BUY,5058.6001
2021-02-02,TCS,BUY,3203.45
2021-02-02,SBIN,SELL,333.10001
2021-02-03,HDFCBANK,SELL,1574.8
2021-02-03,SBIN,BUY,335.95001
2021-02-04,HDFCBANK,BUY,1579.1
2021-02-04,ITC,SELL,217.05828487
2021-02-04,BAJFINANCE,SELL,5504.8501
2021-02-05,ITC,BUY,221.21161656
2021-02-05,SBIN,SELL,393.10001
2021-02-05,BAJFINANCE,BUY,5538.5498
2021-02-08,SBIN,BUY,397.04999
2021-02-11,ITC,SELL,213.7545058
2021-02-12,ICICIBANK,SELL,647.59998
2021-02-12,INFY,BUY,1309.8
2021-02-15,ICICIBANK,BUY,673.95001
2021-02-17,TCS,SELL,3073.1001
2021-02-18,ICICIBANK,SELL,644.65002
2021-02-18,ITC,BUY,206.58059497
2021-02-19,ICICIBANK,BUY,624.04999
2021-02-22,INFY,SELL,1265.2
2021-02-22,ITC,SELL,195.44213038
2021-02-23,HDFCBANK,SELL,1529.15
2021-02-24,HDFCBANK,BUY,1610.0
2021-02-26,RELIANCE,BUY,946.8061511
2021-02-26,HDFCBANK,SELL,1534.4
2021-02-26,ICICIBANK,SELL,597.75
2021-02-26,BHARTIARTL,SELL,546.05461321
2021-02-26,BAJFINANCE,SELL,5264.8999
2021-03-02,INFY,BUY,1304.5
2021-03-03,HDFCBANK,BUY,1586.85
2021-03-03,ICICIBANK,BUY,632.09998
2021-03-03,BAJFINANCE,BUY,5542.8999
2021-03-05,HDFCBANK,SELL,1530.0
2021-03-05,ICICIBANK,SELL,609.45001
2021-03-05,SBIN,SELL,383.64999
2021-03-08,BAJFINANCE,SELL,5320.6499
2021-03-09,TCS,BUY,3050.95
2021-03-10,TCS,SELL,3070.95
2021-03-10,BAJFINANCE,BUY,5545.0498
2021-03-12,TCS,BUY,3057.95
2021-03-16,INFY,SELL,1384.0
2021-03-17,INFY,BUY,1387.0
2021-03-17,ITC,BUY,198.79311574
2021-03-17,BAJFINANCE,SELL,5359.7998
2021-03-18,RELIANCE,SELL,911.98975845
2021-03-18,INFY,SELL,1337.1
2021-03-18,ITC,SELL,205.44785184
2021-03-19,INFY,BUY,1344.45
2021-03-19,ITC,BUY,210.45072673
2021-03-19,BAJFINANCE,BUY,5453.25
2021-03-24,ITC,SELL,203.84316859
2021-03-24,BAJFINANCE,SELL,5270.2998
2021-03-25,ITC,BUY,199.73705261
2021-03-30,HDFCBANK,BUY,1553.7
2021-03-31,HDFCBANK,SELL,1493.65
2021-04-01,HINDUNILVR,BUY,2399.1001
2021-04-06,TCS,SELL,3264.7
2021-04-07,TCS,BUY,3271.3999
2021-04-07,INFY,SELL,1430.2
2021-04-08,INFY,BUY,1439.85
2021-04-12,ITC,SELL,193.79024085
2021-04-13,TCS,SELL,3104.05
2021-04-15,TCS,BUY,3218.95
2021-04-15,INFY,SELL,1360.75
2021-04-22,TCS,SELL,3118.8
2021-04-22,ICICIBANK,BUY,579.20001
2021-04-23,ICICIBANK,SELL,569.95001
2021-04-23,HINDUNILVR,SELL,2307.75
2021-04-26,ICICIBANK,BUY,591.09998
2021-04-27,ICICIBANK,SELL,598.75
2021-04-27,SBIN,BUY,353.04999
2021-04-28,ICICIBANK,BUY,621.34998
2021-04-28,HINDUNILVR,BUY,2406.55
2021-04-28,SBIN,SELL,363.39999
2021-04-29,SBIN,BUY,359.39999
2021-04-30,ICICIBANK,SELL,600.5
2021-04-30,SBIN,SELL,353.5
2021-05-03,ICICIBANK,BUY,596.75
2021-05-03,SBIN,BUY,350.60001
2021-05-04,SBIN,SELL,351.5
2021-05-05,SBIN,BUY,355.39999
2021-05-06,SBIN,SELL,355.54999
2021-05-07,SBIN,BUY,358.25
2021-05-10,TCS,BUY,3145.5
2021-05-11,TCS,SELL,3122.6001
2021-05-12,HINDUNILVR,SELL,2328.95
2021-05-17,SBIN,SELL,383.10001
2021-05-18,ICICIBANK,SELL,633.20001
2021-05-18,SBIN,BUY,382.25
2021-05-18,BAJFINANCE,BUY,5688.75
2021-05-19,ICICIBANK,BUY,625.45001
2021-05-21,INFY,BUY,1354.5
2021-05-24,INFY,SELL,1348.05
2021-05-24,SBIN,SELL,412.04999
2021-05-25,INFY,BUY,1361.6
2021-05-25,SBIN,BUY,412.35001
2021-06-02,SBIN,SELL,437.25
2021-06-03,RELIANCE,BUY,1003.02527428
2021-06-03,HINDUNILVR,BUY,2363.25
2021-06-03,SBIN,BUY,439.64999
2021-06-04,HINDUNILVR,SELL,2342.05
2021-06-08,HINDUNILVR,BUY,2359.0
2021-06-09,HINDUNILVR,SELL,2356.0
2021-06-09,SBIN,SELL,421.45001
2021-06-10,HINDUNILVR,BUY,2378.8
2021-06-10,SBIN,BUY,432.25
2021-06-10,BAJFINANCE,SELL,6086.3999
2021-06-11,TCS,BUY,3273.8
2021-06-11,INFY,SELL,1446.9
2021-06-11,BAJFINANCE,BUY,6120.0
2021-06-14,INFY,BUY,1461.8
2021-06-18,SBIN,SELL,412.89999
2021-06-24,HDFCBANK,BUY,1506.25
2021-06-24,INFY,SELL,1559.2
2021-06-25,RELIANCE,SELL,955.27193627
2021-06-25,INFY,BUY,1574.2
2021-06-25,SBIN,BUY,428.79999
2021-06-28,HDFCBANK,SELL,1508.35
2021-07-06,HDFCBANK,BUY,1534.7
2021-07-12,HDFCBANK,SELL,1487.0
2021-07-13,HDFCBANK,BUY,1501.85
2021-07-13,ICICIBANK,SELL,664.95001
2021-07-14,ICICIBANK,BUY,664.34998
2021-07-19,TCS,SELL,3184.6001
2021-07-20,HDFCBANK,SELL,1443.15
2021-07-20,ICICIBANK,SELL,641.90002
2021-07-22,RELIANCE,BUY,962.64829065
2021-07-22,ICICIBANK,BUY,655.95001
2021-07-23,HINDUNILVR,SELL,2358.1001
2021-07-26,RELIANCE,SELL,942.74352747
